,nam,bien_loi_nhuan_rong,bvps,chi_phi_huy_dong_von,cir,cof,du_no_cho_vay_tren_tien_gui,du_no_cho_vay_tren_tts_co,du_phong_rui_ro_tin_dung_tren_thu_nhap_hoat_dong,eps,ldr,loi_nhuan_sau_thue_tren_thu_nhap_hoat_dong,nim,ocfps,phat_hanh_giay_to_co_gia_tren_tts,roaa,roea,tai_san_sinh_lai_tren_tong_tai_san_co,tang_truong_chi_phi_hdkd,tang_truong_du_no_cho_vay,tang_truong_du_phong_rui_ro_tin_dung,tang_truong_hdkd_truoc_chi_phi_du_phong_rui_ro,tang_truong_huy_dong_von_khach_hang,tang_truong_lnst,tang_truong_lntt,tang_truong_thu_nhap_lai_thuan,tang_truong_thu_phi_dich_vu_thuan,tang_truong_tong_tai_san,tang_truong_von_chu_so_huu,tang_truong_von_dieu_le,tien_gui_khach_hang_tren_tts,tong_von_huy_dong_tren_tts,vcsh_tren_tong_von_huy_dong,vcsh_tren_tts_co,yoea,beta,foreignOwnership,freeFloat,freeShares,insiderOwnership,institutionOwnership,sharesOutstanding,bat_dong_san_dau_tu,cac_khoan_no_nhnn,cac_khoan_phai_thu,cac_khoan_phai_tra,chi_phi_du_phong_rui_ro,chi_phi_hoat_dong,chi_phi_hoat_dong_dich_vu,chi_phi_lai,cho_vay_khach_hang,cho_vay_khach_hang_truoc_du_phong_rui_ro,cho_vay_tctd_khac,chung_khoan_dau_tu,chung_khoan_dau_tu_giu_den_ngay_dao_han,chung_khoan_dau_tu_san_sang_de_ban,chung_khoan_dau_tu_truoc_du_phong_rui_ro,chung_khoan_kinh_doanh,cong_cu_tai_chinh_phai_sinh,cong_cu_tai_chinh_phai_sinh_va_no_tai_chinh,du_no_cho_vay,du_no_cho_vay_khach_hang,du_phong_giam_gia_chung_khoan_dau_tu,du_phong_rui_ro_cho_vay_cac_tctd_khac,du_phong_rui_ro_cho_vay_khach_hang,du_phong_rui_ro_cho_vay_tctd_khac,gop_von_dau_tu_dai_han,lai_lo_hoat_dong_dich_vu,lai_lo_kinh_doanh_ngoai_hoi,lai_lo_mua_ban_ck_dau_tu,lai_lo_mua_ban_ck_kinh_doanh,lai_thuan_hoat_dong_khac,loi_nhuan_hoat_dong_tai_chinh,loi_nhuan_sau_thue,loi_nhuan_truoc_thue,loi_nhuan_tu_hdkd_truoc_du_phong_rui_ro,nguon_huy_dong_co_tinh_lai,phat_hanh_giay_to_co_gia,tai_san_co_dinh,tai_san_co_dinh_huu_hinh,tai_san_co_dinh_vo_hinh,tai_san_co_khac,tai_san_sinh_lai,thu_nhap_hoat_dong,thu_nhap_khac,thu_nhap_lai_thuan,thu_nhap_tu_gop_von_mua_co_phan,thu_nhap_tu_hoat_dong_dich_vu,thu_nhap_tu_lai,thu_nhap_tu_lai_va_hoat_dong_dich_vu,thue_thu_nhap_doanh_nghiep,tien_gui_khach_hang,tien_gui_tai_nhnn,tien_gui_va_vay_tctd_khac,tien_mat_vang_bac_da_quy,tien_va_tuong_duong_tien,tien_vang_gui_cho_vay_tai_tctd_khac,tien_vang_gui_cho_vay_tai_tctd_khac_truoc_rui_ro,tien_vang_gui_tai_tctd_khac,tong_doanh_thu,tong_no,tong_no_va_vcsh,tong_tai_san,tong_von_huy_dong,vay_tctd_khac,von_chu_so_huu,von_dieu_le,von_tai_tro_uy_thac_dau_tu_ngan_hang_chiu_rui_ro,luu_chuyen_tien_thuan_tu_hoat_dong_kinh_doanh,gia_tri_so_sach,ticker,year
0,2005.0,100.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,100.0,0.0,1697.86,0.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,100.0,100.0,0.0,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64596046000001.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8035163000000.0,0.0,VCB,2005
1,2013.0,12.73,8956.35,9.26,40.27,8.53,82.56,58.49,38.0,920.87,72.51,47.05,2.37,4191.71,0.43,1.86,20.56,97.11,-100.0,1000.0,-100.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,70.84,80.66,11.2,9.04,12.43,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,32622411000000.0,2098143000000.0,10492739000000.0,-3520217000000.0,-6244061000000.0,-1125800000000.0,-17516269000000.0,267863404000000.0,274314209000000.0,7992267000000.0,64463096000000.0,17360833000000.0,47127209000000.0,64488042000000.0,195270000000.0,136725000000.0,0.0,366117282000000.0,274314209000000.0,-24946000000.0,-66024000000.0,-6450805000000.0,-66024000000.0,3041790000000.0,1619371000000.0,1426859000000.0,160461000000.0,22172000000.0,934285000000.0,1609492000000.0,4358052000001.0,5743076000001.0,9263293000000.0,410925895000000.0,2013597000000.0,4085686000000.0,2556047000001.0,1529639000001.0,6567707000000.0,455448956000000.0,32071421000000.0,1027579000000.0,10782402000000.0,561804000000.0,2745171000000.0,28298671000000.0,31043842000000.0,-1365493999999.0,332245598000000.0,24843632000000.0,44044289000000.0,6059673000000.0,137139962000001.0,91737049000000.0,91803073000000.0,83810806000000.0,34242717000000.0,426607966999999.0,468994032000000.0,468994032000001.0,378303484000000.0,12862566000000.0,42386065000001.0,23174171000000.0,0.0,19837341000000.0,40856426000000.0,VCB,2013
2,2014.0,13.03,9154.53,3.83,39.63,3.48,76.58,56.04,44.0,964.72,69.14,43.76,2.14,8875.88,0.38,0.87,10.65,95.34,9.72,17.87,30.43,12.64,27.08,4.76,1.74,9.01,9.39,23.03,2.21,15.0,73.17,81.05,9.26,7.51,5.56,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,54093072000000.0,2588216000000.0,6890055000000.0,-4591445000000.0,-6850931000000.0,-1395518000000.0,-16213598000000.0,316253747000000.0,323338118000000.0,57189924000000.0,67124323000000.0,18200985000000.0,49197775000000.0,67398760000000.0,10122143000000.0,0.0,75278000000.0,469437516000000.0,323338118000000.0,-274437000000.0,-22877000000.0,-7084371000000.0,-22877000000.0,3546171000000.0,1771425000000.0,1345079000000.0,219751000000.0,199124000000.0,1784643000000.0,1763954000000.0,4565574000001.0,5842862000001.0,10434307000000.0,521818569000000.0,2208641000000.0,4464529000000.0,2829004000001.0,1635525000001.0,7817731000000.0,550103377000000.0,33074406000000.0,1939628000000.0,11754237000000.0,210979000000.0,3166943000000.0,27967835000000.0,31134778000000.0,-1258091999999.0,422203780000000.0,13267101000000.0,43237798000000.0,8323385000000.0,175012996000001.0,146076521000000.0,146099398000000.0,88909474000000.0,35049339000000.0,533671679999999.0,576995651000000.0,576995651000001.0,467650219000000.0,9540617000000.0,43323971000001.0,26650203000000.0,0.0,42005255000000.0,41688446000000.0,VCB,2014
3,2015.0,13.62,9510.17,3.05,39.18,2.79,77.35,57.41,47.06,1122.85,67.31,41.21,2.39,-1423.8,0.37,0.85,12.03,95.96,21.24,19.74,32.16,23.59,18.55,16.39,16.85,31.47,5.71,16.88,3.88,0.0,74.22,85.28,7.83,6.67,5.24,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,41479553000000.0,3532456000000.0,7592278000000.0,-6068091000000.0,-8306249000000.0,-1684656000000.0,-15907697000000.0,378541826000000.0,387151704000000.0,38939836000000.0,108055236000000.0,65818278000000.0,42941175000000.0,108759453000000.0,9467305000000.0,628000000.0,0.0,518679077000000.0,387151704000000.0,-704217000000.0,0.0,-8609878000000.0,0.0,3556750000000.0,1872648000000.0,1572574000000.0,171467000000.0,178362000000.0,1905279000000.0,1922403000000.0,5313928000001.0,6827457000001.0,12895548000000.0,616622271000000.0,2479070000000.0,5039473000000.0,3385622000001.0,1653851000001.0,9971680000000.0,647153565000000.0,37058583000000.0,2140550000000.0,15453032000000.0,48435000000.0,3557304000000.0,31360729000000.0,34918033000000.0,-1495389999999.0,500528267000000.0,19715035000000.0,72135381000000.0,8519334000000.0,164412853000001.0,131527373000000.0,131527373000000.0,92587537000000.0,39029421000000.0,629387597999999.0,674394640000000.0,674394640000001.0,575142718000000.0,20391699000000.0,45007042000001.0,26650203000000.0,0.0,-6738172000000.0,43353191000000.0,VCB,2015
4,2016.0,14.64,10133.72,3.07,39.99,2.86,78.04,58.49,42.91,1443.57,68.47,45.76,2.43,4091.64,1.31,0.93,14.7,96.71,19.79,19.03,5.57,15.77,17.97,28.56,24.84,19.9,12.5,16.83,6.56,35.0,74.94,85.41,7.13,6.09,5.35,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,54151413000000.0,2950677000000.0,6205209000000.0,-6406106000000.0,-9950443000000.0,-2219778000000.0,-19185461000000.0,452684316000000.0,460808468000000.0,48609517000000.0,131771107000000.0,80019284000000.0,51931950000000.0,131951234000000.0,4233529000000.0,230658000000.0,0.0,612654038000000.0,460808468000000.0,-180127000000.0,0.0,-8124152000000.0,0.0,3627814000000.0,2106705000000.0,1850118000000.0,-89416000000.0,495768000000.0,1917190000000.0,2256470000000.0,6831725000001.0,8523083000001.0,14929189000000.0,727127538000000.0,10286376000000.0,5639382000000.0,3717046000001.0,1922336000001.0,10800045000000.0,761987690000000.0,44333194000000.0,2293539000000.0,18527711000000.0,71556000000.0,4326483000000.0,37713172000000.0,42039655000000.0,-1672081999999.0,590451344000000.0,17382418000000.0,72238405000000.0,9692053000000.0,179888998000001.0,151845570000000.0,151845570000000.0,103236053000000.0,46661220000000.0,739948902999999.0,787906892000000.0,787906892000001.0,672976125000000.0,18956175000000.0,47957989000001.0,35977686000000.0,0.0,19363757000000.0,46035653000000.0,VCB,2016
5,2017.0,16.03,11086.84,3.3,40.35,2.86,76.7,52.49,35.34,1920.98,68.47,51.83,2.19,32034.9,1.76,1.0,18.1,96.6,19.25,17.93,-3.24,17.49,20.0,33.07,33.07,18.4,20.48,31.4,9.41,0.0,68.44,76.66,6.61,5.07,5.24,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,171385068000000.0,4505735000000.0,9163290000000.0,-6198415000000.0,-11866345000000.0,-2839967000000.0,-24221222000000.0,535321404000000.0,543434460000000.0,73930058000000.0,129952272000000.0,95404021000000.0,34688298000000.0,130092319000000.0,9669033000000.0,832354000000.0,0.0,776407863000000.0,543434460000000.0,-140047000000.0,0.0,-8113056000000.0,0.0,3552828000000.0,2538209000000.0,2042417000000.0,-19742000000.0,476400000000.0,2099530000000.0,2499075000000.0,9091070000001.0,11341361000001.0,17539776000000.0,965061492000000.0,18214504000000.0,6162361000000.0,4198053000001.0,1964308000001.0,13111149000000.0,1000115800000000.0,53892775000000.0,2355831000000.0,21937546000000.0,331761000000.0,5378176000000.0,46158768000000.0,51536944000000.0,-2230772999999.0,708519717000000.0,93615618000000.0,66942203000000.0,10102861000000.0,305534247000001.0,232973403000000.0,232973403000000.0,159043345000000.0,56723611000000.0,982824647999999.0,1035293283000000.0,1035293283000001.0,793676424000000.0,11138325000000.0,52468635000001.0,35977686000000.0,23153000000.0,151605691000000.0,50504327000000.0,VCB,2017
6,2018.0,20.68,13124.18,3.24,34.65,2.81,78.79,58.83,28.82,3086.22,70.21,56.9,2.72,-12727.76,2.0,1.38,25.49,97.16,14.7,16.27,19.35,46.34,13.18,60.66,61.08,29.5,34.05,3.74,18.38,0.0,74.67,83.79,6.9,5.78,5.47,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,90685315000000.0,4065268000000.0,12484902000000.0,-7398113000000.0,-13611094000000.0,-3619663000000.0,-27455435000000.0,621573249000000.0,631866758000000.0,63875537000000.0,149296430000000.0,114251030000000.0,35321259000000.0,149572289000000.0,2654806000000.0,275983000000.0,0.0,883094795000000.0,631866758000000.0,-275859000000.0,-1000000000000.0,-10293509000000.0,-1000000000000.0,2476067000000.0,3402492000000.0,2266429000000.0,0.0,250462000000.0,3234365000000.0,2516891000000.0,14605578000001.0,18269226000001.0,25667339000000.0,990599641000000.0,21461132000000.0,6527466000000.0,4459292000001.0,2068174000001.0,17356776000000.0,1043512785000000.0,66402010000000.0,3515904000000.0,28408516000000.0,1716169000000.0,7022155000000.0,55863951000000.0,62886106000000.0,-3647163999999.0,801929115000000.0,10845701000000.0,76524079000000.0,12792045000000.0,244014156000001.0,250228037000000.0,251228037000000.0,187352500000000.0,70635070000000.0,1011916169999999.0,1074026560000000.0,1074026560000001.0,899914326000000.0,1278400000000.0,62110390000001.0,35977686000000.0,25803000000.0,-60234337000000.0,60042216000000.0,VCB,2018
7,2019.0,22.05,17073.27,3.45,34.59,3.15,79.13,60.09,22.7,3911.43,71.79,61.88,2.91,5298.63,1.75,1.61,25.91,97.31,16.21,16.28,-8.21,16.54,15.78,26.74,26.56,21.71,26.58,13.84,30.09,3.09,75.93,83.7,7.89,6.61,6.06,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,92365806000000.0,8829375000000.0,15593373000000.0,-6790429000000.0,-15817575000000.0,-4695663000000.0,-33146840000000.0,724290102000000.0,734706891000000.0,62370043000000.0,167529689000000.0,132271302000000.0,35699090000000.0,167970392000000.0,1801126000000.0,98312000000.0,0.0,987177263000000.0,734706891000000.0,-440703000000.0,-3000000000000.0,-10416789000000.0,-3000000000000.0,2464493000000.0,4306844000000.0,3378274000000.0,7040000000.0,145982000000.0,3069795000000.0,3531296000000.0,18510898000001.0,23122377000001.0,29912806000000.0,1115817692000000.0,21383932000000.0,6710443000000.0,4449649000001.0,2260794000001.0,21891872000000.0,1189831746000000.0,80154462000000.0,3427765000000.0,34577350000000.0,245096000000.0,9002507000000.0,67724190000000.0,76726697000000.0,-4596388999999.0,928450869000000.0,34684091000000.0,73617085000000.0,13778358000000.0,272270535000001.0,249470372000000.0,252470372000000.0,190100329000000.0,83930854000000.0,1141919334999999.0,1222718858000000.0,1222718858000001.0,1023451886000000.0,2570573000000.0,80799523000001.0,37088774000000.0,20431000000.0,25075832000000.0,78538729000000.0,VCB,2019
8,2020.0,21.28,19864.69,3.02,32.69,2.85,81.37,63.32,30.2,3898.84,72.59,55.87,2.79,5410.11,1.6,1.45,21.11,97.98,1.4,14.3,46.89,10.4,11.17,-0.32,-0.31,4.94,53.41,8.47,16.35,0.0,77.82,87.24,8.13,7.09,5.56,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,41176995000000.0,6668595000000.0,24155977000000.0,-9974730000000.0,-16038250000000.0,-3980846000000.0,-32919659000000.0,820545467000000.0,839788261000000.0,64255862000000.0,156931097000000.0,115382544000000.0,42148831000000.0,157531375000000.0,1954061000000.0,0.0,52031000000.0,1108757906000000.0,839788261000000.0,-600278000000.0,-1000000000000.0,-19242794000000.0,-1000000000000.0,2239006000000.0,6607317000000.0,3906399000000.0,-98000000.0,1810000000.0,1800253000000.0,3908111000000.0,18451311000001.0,23049561000001.0,33024291000000.0,1198166623000000.0,21240197000000.0,8539362000000.0,5411139000001.0,3128223000001.0,19816687000000.0,1299428654000000.0,82338011000000.0,2544714000000.0,36285475000000.0,461385000000.0,10588163000000.0,69205134000000.0,79793297000000.0,-4577042999999.0,1032113567000000.0,33139373000000.0,103583833000000.0,15095394000000.0,292582702000001.0,267969645000000.0,268969645000000.0,204713783000000.0,86707507000000.0,1232220136999999.0,1326230092000000.0,1326230092000001.0,1156937597000000.0,2667400000000.0,94009955000001.0,37088774000000.0,14679000000.0,25603435000000.0,90881732000000.0,VCB,2020
9,2021.0,24.45,23038.54,2.34,30.98,2.3,84.62,67.91,30.04,4631.53,76.1,55.99,3.06,-11949.77,1.23,1.6,21.59,97.82,9.58,14.4,17.91,18.55,10.0,18.79,18.82,16.85,12.1,6.67,15.98,0.0,80.25,89.24,8.64,7.71,5.27,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,9468116000000.0,15796141000000.0,24283600000000.0,-11760801000000.0,-17574188000000.0,-3879443000000.0,-28349385000000.0,934774287000000.0,960749955000000.0,48727565000000.0,170604700000000.0,99657595000000.0,71122502000000.0,170780097000000.0,2766098000000.0,303202000000.0,0.0,1190514501000000.0,960749955000000.0,-175397000000.0,-4000000000000.0,-25975668000000.0,-4000000000000.0,2346176000000.0,7407073000000.0,4374820000000.0,-85126000000.0,104114000000.0,2393261000000.0,4393808000000.0,21918813000001.0,27388580000001.0,39149381000000.0,1271937553000000.0,17387747000000.0,8626043000000.0,5552624000001.0,3073419000001.0,28969058000000.0,1383801309000000.0,85135888000000.0,3100370000000.0,42399617000000.0,129810000000.0,11286516000000.0,70749002000000.0,82035518000000.0,-5449534999999.0,1135323913000000.0,22506711000000.0,109757777000000.0,18011766000000.0,232553995000001.0,225764546000000.0,229764546000000.0,181036981000000.0,89659506000000.0,1305642306999999.0,1414672587000000.0,1414672587000001.0,1262469437000000.0,5713960000000.0,109030280000001.0,37088774000000.0,7707000000.0,-56552473000000.0,105956861000000.0,VCB,2021
10,2022.0,27.32,29138.84,2.52,31.23,2.45,92.09,63.12,20.21,6316.36,76.27,63.84,3.03,38747.96,1.4,1.85,24.21,96.92,20.97,19.18,-19.53,19.6,9.53,36.38,36.4,25.58,-7.67,28.24,26.48,27.6,68.54,82.75,9.19,7.6,5.61,0.84,0.23550307,-0.1556146199999999,378073433.0,1.064e-05,0.92010091,4732516571.0,0.0,67314816000000.0,24932725000000.0,95079105000000.0,-9464218000000.0,-21259889000000.0,-5585940000000.0,-34866221000000.0,1120286831000000.0,1145066250000000.0,40749725000000.0,196171212000000.0,95513376000000.0,100739669000000.0,196253045000000.0,1499687000000.0,156515000000.0,0.0,1469498063000000.0,1145066250000000.0,-81833000000.0,-10840000000000.0,-24779419000000.0,-10840000000000.0,2193516000000.0,6839068000000.0,5768445000000.0,81595000000.0,-115193000000.0,2053957000000.0,5734847000000.0,29892285000001.0,37358660000001.0,46822878000000.0,1568632032000000.0,25337894000000.0,7985401000000.0,5170083000001.0,2815318000001.0,61396906000000.0,1758308917000000.0,103466042000000.0,2928335000000.0,53246478000000.0,208417000000.0,12425008000000.0,88112699000000.0,100537707000000.0,-7446339999999.0,1243468472000000.0,92557809000000.0,232510850000000.0,18348519000000.0,412189648000001.0,313591813000000.0,324431813000000.0,283682088000000.0,109409306000000.0,1676288145999999.0,1814188209000000.0,1814188209000001.0,1501317216000000.0,10470265000000.0,137900063000001.0,47325166000000.0,3298000000.0,183375344000000.0,135084745000000.0,VCB,2022
11,2013.0,,4881.19,,,,,,,1777.56,,,,2434.24,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,1459922785661.0,,,,,,,,,,,,,,,,,,,,,,,,6779512147954.0,9740085981879.0,,,,,5645716640221.0,504491185677.0,,,,,,,,,,2590797861322.0,,,,,7534048703296.0,,,,,57156105584507.0,,75772648425796.0,,,18616542841289.0,,,9284048995648.0,18112051655612.0,VIC,2013
12,2014.0,,7153.93,,,,,,,828.17,,,,2594.91,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,2711269664975.0,,,,,,,,,,,,,,,,,,,,,,,,3158582676075.0,5409680638499.0,,,,,10526340741650.0,520367279712.0,,,,,,,,,,1633634897016.0,,,,,7607513719674.0,,,,,63200673940820.0,,90485307199861.0,,,27284633259041.0,,,9896814378055.0,26764265979329.0,VIC,2014
13,2015.0,,9852.51,,,,,,,318.77,,,,7316.05,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,2402860475538.0,,,,,,,,,,,,,,,,,,,,,,,,1215774826081.0,2852100965402.0,,,,,19114346085752.0,649061296921.0,,,,,,,,,,1350625521951.0,,,,,6938465104491.0,,,,,107917829365182.0,,145494672578220.0,,,37576843213038.0,,,27902940507499.0,36927781916117.0,VIC,2015
14,2016.0,,11868.68,,,,,,,639.63,,,,1179.5,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,4308066793491.0,,,,,,,,,,,,,,,,,,,,,,,,2439510861998.0,5792758966379.0,,,,,26066821876594.0,811909201739.0,,,,,,,,,,2279691073873.0,,,,,9833332219402.0,,,,,135184454789211.0,,180450849693795.0,,,45266394904584.0,,,4498546635973.0,44454485702845.0,VIC,2016
15,2017.0,,13780.26,,,,,,,1170.03,,,,4401.19,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,340163686718.0,,,,,,,,,,,,,,,,,,,,,,,,4462411670514.0,9114281478577.0,,,,,34973533341871.0,676410660164.0,,,,,,,,,,3459339687351.0,,,,,8141750027687.0,,,,,161235046806942.0,,213792056984598.0,,,52557010177656.0,,,16785848695319.0,51880599517492.0,VIC,2017
16,2018.0,,25961.04,,,,,,,990.24,,,,-2617.7,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,3939282490393.0,,,,,,,,,,,,,,,,,,,,,,,,3776727785919.0,13853637650409.0,,,,,48549322916459.0,819872585894.0,,,,,,,,,,7662756179806.0,,,,,13557055282582.0,,,,,188960462126460.0,,287974176805810.0,,,99013714679350.0,,,-9983730225597.0,98193842093456.0,VIC,2018
17,2019.0,,31617.89,,,,,,,1978.51,,,,4186.51,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,7147357000001.0,,,,,,,,,,,,,,,,,,,,,,,,7545915000001.0,15637424000001.0,,,,,88298602000001.0,19970292000001.0,,,,,,,,,,7920811000001.0,,,,,18446968000001.0,,,,,283152164000000.0,,403740753000001.0,,,120588589000001.0,,,15967088000000.0,100618297000000.0,VIC,2019
18,2020.0,,35620.09,,,,,,,1432.81,,,,4183.32,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,11402385000001.0,,,,,,,,,,,,,,,,,,,,,,,,5464627000001.0,13942555000001.0,,,,,103813162000001.0,21826707000001.0,,,,,,,,,,9396982000001.0,,,,,29403688000001.0,,,,,286651052000000.0,,422503767000001.0,,,135852715000001.0,,,15954926000000.0,114026008000000.0,VIC,2020
19,2021.0,,41839.16,,,,,,,-659.13,,,,-3724.74,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,10288893000001.0,,,,,,,,,,,,,,,,,,,,,,,,-2513882999999.0,3146451000001.0,,,,,106067440000001.0,24628519000001.0,,,,,,,,,,10704615000001.0,,,,,18352236000001.0,,,,,268812599000000.0,,428384465000001.0,,,159571866000001.0,,,-14205904000000.0,134943347000000.0,VIC,2021
20,2022.0,,35557.26,,,,,,,2189.83,,,,26.56,,,,,,,,,,,,,,,,,,,,,,0.69,0.12081995,0.1513658799999999,1101771866.0,0.25255448,0.47525969,3813935561.0,,,,,,,,11052253000001.0,,,,,,,,,,,,,,,,,,,,,,,,8351853000001.0,12693795000001.0,,,,,104993428000001.0,17915268000001.0,,,,,,,,,,10711975000001.0,,,,,26209213000001.0,,,,,439194193000000.0,,574807290000001.0,,,135613097000001.0,,,101280000000.0,117697829000000.0,VIC,2022
21,2016.0,,2192.96,,,,,,,378.6,,,,1088.87,,,,,,,,,,,,,,,,,,,,,,1.14,0.24222584,-0.0148904599999999,1233581320.0,1.613e-05,0.77264849,4354367488.0,,,,,,,,384720077363.0,,,,,,,,,,,,,,,,,,,,,,,,1648549290411.0,2794905785693.0,,,,,3223675926139.0,37957784796.0,,,,,,,,,,587606660571.0,,,,,2802422910161.0,,,,,27971803635341.0,,37520745782452.0,,,9548942147111.0,,,4741360029150.0,9510984362315.0,VHM,2016
22,2017.0,,0.0,,,,,,,323.73,,,,642.13,,,,,,,,,,,,,,,,,,,,,,1.14,0.24222584,-0.0148904599999999,1233581320.0,1.613e-05,0.77264849,4354367488.0,,,,,,,,901949220590.0,,,,,,,,,,,,,,,,,,,,,,,,1409642043515.0,2108782048601.0,,,,,1296934619610.0,58959856719.0,,,,,,,,,,543292988847.0,,,,,1561577770819.0,,,,,51303819026055.0,,51303819026056.0,,,1.0,,,2796051161730.0,-58959856718.0,VHM,2017
23,2018.0,,11056.69,,,,,,,3280.49,,,,-336.03,,,,,,,,,,,,,,,,,,,,,,1.14,0.24222584,-0.0148904599999999,1233581320.0,1.613e-05,0.77264849,4354367488.0,,,,,,,,2382621895216.0,,,,,,,,,,,,,,,,,,,,,,,,14284453166653.0,19718734148310.0,,,,,100435383997.0,27751620273.0,,,,,,,,,,4942414902874.0,,,,,3515372453073.0,,,,,71543881480730.0,,119688756467699.0,,,48144874986969.0,,,-1463199222818.0,48117123366696.0,VHM,2018
24,2019.0,,14862.1,,,,,,,4994.38,,,,11925.59,,,,,,,,,,,,,,,,,,,,,,1.14,0.24222584,-0.0148904599999999,1233581320.0,1.613e-05,0.77264849,4354367488.0,,,,,,,,2377698000001.0,,,,,,,,,,,,,,,,,,,,,,,,21747376000001.0,29745694000001.0,,,,,624738000001.0,65609000001.0,,,,,,,,,,5426594000001.0,,,,,13332299000001.0,,,,,132525985000000.0,,197241028000001.0,,,64715043000001.0,,,51928409000000.0,64649434000000.0,VHM,2019
25,2020.0,,20469.08,,,,,,,6281.34,,,,5714.27,,,,,,,,,,,,,,,,,,,,,,1.14,0.24222584,-0.0148904599999999,1233581320.0,1.613e-05,0.77264849,4354367488.0,,,,,,,,3001572000001.0,,,,,,,,,,,,,,,,,,,,,,,,27351280000001.0,36516837000001.0,,,,,5683205000001.0,223410000001.0,,,,,,,,,,8310297000001.0,,,,,13713651000001.0,,,,,126196462000000.0,,215326377000001.0,,,89129915000001.0,,,24882049000000.0,88906505000000.0,VHM,2020
26,2021.0,,30178.3,,,,,,,8916.23,,,,3921.01,,,,,,,,,,,,,,,,,,,,,,1.14,0.24222584,-0.0148904599999999,1233581320.0,1.613e-05,0.77264849,4354367488.0,,,,,,,,2348161000001.0,,,,,,,,,,,,,,,,,,,,,,,,38824562000001.0,48182977000001.0,,,,,6271368000001.0,1226456000001.0,,,,,,,,,,9234499000001.0,,,,,4625760000001.0,,,,,99109060000000.0,,230516471000001.0,,,131407411000001.0,,,17073519000000.0,130180955000000.0,VHM,2021
